1st Choice Logistics LLC	FCOS
Sharkey Transportation, Inc.: Flatbed	SHKE,SHKC,SSHH
Sharkey Transportation, Inc.: Metro	SHKE,SHKC,SSHH
Sharkey Transportation, Inc.: Temperature Controlled	SHKE,SHKC,SSHH
Sharp Transport, Inc.	SHPK
Sharp Transportation Inc.	SAPI
Sharp Transportation Systems Inc.	SHQY
Shaw Transport, Inc.: SCPF	SCPF
Shaw Transport, Inc.: SHWP	SHWP
Shawnee Express, Inc.: Boat Hauling	SNEE
Shawnee Express, Inc.: General Hauling	SNEE
Sheehy Mail Contractors, Inc.	SHYM
Shefland Trucking Service, Inc	SFKR
Shelton Trucking Service Inc.	SHEI
Sherman Bros. Heavy Trucking: Flatbed Linehaul	SHMB
Sherman Bros. Heavy Trucking: Glass	SHMB
Sherman Bros. Heavy Trucking: Gross Lessors	SHMB
Sherman Bros. Heavy Trucking: Lowboy	SHMB
Sherman Bros. Heavy Trucking: Multi-Axle	SHMB
Sherman Bros. Heavy Trucking: Multi-Axle Gross Leasors	SHMB
Sherwin-Williams Automotive Finishes	N/A
ShipEx, Inc.	SPXQ
Shippers C&D	SPEY
Shoemaker Logistics Inc.	N/A
Shoreline Transportation of Alabama, LLC	SRLL
Showtime Entertainment Transport LLC	SWHA
SHR Transport, Inc.	SHRS
Sierra Mountain Express, Inc.	SMUE
Silence Lines LLC	SEZC
Silica Transport, Inc.	SITP
Simconnect Freight Management	SFMN
Simfreight Solutions	TOET
Simon Transport, LLC	SIMN
Simplex Leasing, Inc.: SMXH	SMXH
Simrut Trucking Inc	SKNJ
Sindall Transport Inc.	SIDM
singh express inc: dray	SGHE
Sk-Mk Inc	SKMK
Skelton Truck Lines Ltd.	SKON
Skinner Transfer Corp	SITC
Sky Transportation Services, Inc.	SKHP
Skyline Transportation, Inc.	SKYT
Slay Transportation Co., Inc.	SLAY
SLH Transport Inc.: 100	SLHO
Slingshot Transportation, Inc	SGST
SLT Express Way Inc. DBA Secured Land Transport	SLTW
SM Freight Inc.: SM Freight	SMFH
Smart Choice Transport Ltd.: Smart Choice Transport	SMAR
Smartway Transport	SMWR
Smartway Trucking Inc.: Dry Van Division	SWAG
Smith Transport	SMTA
Smoke City Express Transport, LLC	N/A
Smokey Point Distributing	SMPD
SMS Transportation & Logistics, LLC	STAS
SNA Transportation Inc.	SNJQ
Snyder's-Lance Inc, S-L Snacks Logistics, LLC	SNYF
Solar Transport Company	SOAQ
Soldwedel & Horn Enterprises, Inc	SWHK
Soniq Services, Inc.	SNWS
Sony Electronics Inc.	RAYH
Sortino Transportation LLC	SOTA
South Coast Transportation & Distribution, Inc.	WRDS,WRDS,SCTD
South East Carriers, Inc.	SECJ
South Shore Transportation Co.	SSHE
Southeast Logistics, Inc.	SEOL
Southeast Transportation Systems, Inc	SXSQ
Southeastern Freight Lines, Inc.	SEFL
Southern AG Carriers, Inc.	SAGQ
Southern Counties Express, Inc.*: Dedicated / Local / Regional Truckload	SOCN
Southern Counties Express, Inc.*: Port / Intermodal Drayage	SOCN
Southern Freight Services, Inc.: Southern Freight Services, Inc.	SNFH
Southern Freight, Inc.	SOFI
Southern Illinois Motor Xpress, Inc	SOIL
Southern Intermodal Xpress, LLC	SIXP
Southern Refrigerated Transport, Inc.	SRFI
Southern Wine and Spirits of America, Inc. DBA SWS	SNWV
Southlake Transport Incorporated	SQKT
Southland Transportation Company	SLDD
Southport Trucking Inc.	SHPG
Southwest Connection, Inc.	SWCI
Southwest Freight Distributors, Inc.	SWIC
Southwest Truck Service	SOWS
Southwestern Motor Transport - SMT Lines	SMTL
Spader Freight Services, Inc.	SPDG
Spady Transport Ltd	SPDR
Sparhawk Trucking, Inc.	SPHK
Spartan Freight Systems Inc	SFBC
SPC Transport	SPWC
Special Event Transportation Inc	SEEV
Special Logistics Truckload, LLC	SLTB
Special Service Freight Company of the Carolinas,	SSFH
Special Service Transportation, Inc.	SPSV
Specified Commodity Carriers, Inc: SCC	SCCC
Speedy Transport Group Inc.: LTL	SZTG
Spinnaker Inc	SPNN
Spirit Logistics Inc	N/A
Spirit Truck Lines, Inc.	SQTK
Sprinter Services, Inc.: Dedicated	SPWS
Sprinter Services, Inc.: For Hire	SPWS
Sprinter Trucking, Inc	SPNC
Square One Transport and Logistics: Expedite	SOTP
SR Freight Transportation	SRFY
SRUQ Spectrum	SEUM
Stagecoach Cartage and Distribution LLC	SGCE
Stallion Express, Inc.	SLXA
Stallion Logistics LLC	SOGW
Stan Koch and Sons Trucking: Koch Trucking	KSTS
Stan's Inc	SFGI
Standard Forwarding LLC	STDF
Star Cartage Company, Inc: truckload	SCCF
Star Logistics Ltd.	SRLC
Star Transportation, Inc.	SLSG
Star Van Systems Inc.	SRVY
Starliner Transport (1981) Ltd.	SLTO
States Logistics Services, Inc	SLSV
Steadfast Transcontinent, Inc.	SFTT
Steed Bros Inc	SDJR
Steel & Machinery Transportation, Inc.	SNMI
Steelman Transportation, Inc.	STMQ
Stegall Milling Company, Inc.	STEG
Stephen Izzi Trucking & Rigging, Inc.: S.P.I. Transport Systems, Inc.	SPIV
Stephen Izzi Trucking & Rigging, Inc.: Stephen Izzi Trucking & Rigging, Inc.	N/A
Sterling Transport	SCII
Stevens Transport Inc	STVV, BBLV, BBSE, STTA, SVAS, SXVN, STTZ
Stevens Worldwide Van Lines, Inc.	SVLM
Stewart Transport, Inc	SWRE
Stidham Trucking, Inc.	STID
Stokes Trucking, Inc.	SKUL
Stone Truck Line, Inc.	SNKH
StonesTransport Inc.	22JE
Stop & Shop Supermarket Company - New England Divi	N/A
Storey Trucking Co., Inc.	SCVW
Stoughton Trucking Inc.	SGHO
Styer Transportation Co.	STYT
Styline Logistics	STYH
Sub Zero Transportation, Inc	SZTI
Sugar Foods Corporation	SFBH
Suhanna freight services inc.	SHFV
Sullivan Transportation, Inc.	SULV
Sullivan Trucking Ltd.	SUVK
Summers Trucking Inc.	STCG
Summit Express, Inc. / Diamond Delivery Service, L	SUMD,DDSI
Summit Logistics, Inc.	STUW
Summit Trucking Inc.	SUQO
Summitt Trucking, LLC	SMMT
Sunbelt Transport LLC	SBTQ
Sunco Carriers Inc. dba Watkins Refrigerated	SUCC
Sunland Distribution of Florida, Inc.	SUDA
Sunnyhill Farm Trucking, LLC	SHFT
Sunrise Express Inc.	SNRS
Sunrise Freight Systems INC.	SRFS
Sunrise Transport Inc.	SRSO
Sunstate Carriers Inc.: Sunstate Carriers Inc.	SQNS
Sunteck Transport Group, Inc.	SUJU
Sunway Transport, Inc.	SWYW
Super Service, LLC	SUSA
Super T Transport Inc	SXAC
Super Transport International, Ltd.	SRIR
Superior Global Logistics LLC.	SUAH
Superior Truck Lines, Inc.	SULN
Supply Chain Solutions, LLC dba Foxboro Express: Foxboro Express	FXBE
Supreme Auto Transport, Inc.	SPMA
Surreal Innovations LLC	N/A
Sustainable Freight Group Corp: Sustainable Freight Group	SFRH
SW Trucking, LLC	SWDV
Sweetland Transport Inc.	SDPO
Swift Transportation Co.: Flatbed	SWFT
Swift Transportation Co.: Heavy Haul	SWFT
Swift Transportation Co.: Refrigerated	SWFT
Swift Transportation Co.: Vans	SWFT
Swing Transport, Inc.: Dedicated	SWGT
Swing Transport, Inc.: Road	SWNG
Syfan Dedicated, Inc. DBA Syfan Transport	SYFK
Sylvite	SYVT
System Freight, Inc.	SYFI
System Transport, Inc.: Long Haul	SYTP
System Transport, Inc.: NW Maxi	SYTP
T X X	TXXM
T&S Transportation Systems Inc.	TASS
T&T Trucking of FL Inc	TTFO
T-Brothers Trucking	TBHT
T. Marzetti Company: T.Marzetti Truck Load	MKAL
T.A.P. Transport Inc.	TAPP
T.S. Expediting Services, Inc.	TSCI
T.V. Minority Co., Inc.	TVMC
T/C Distribution Company	N/A
TA Briggs & Sons, Inc	BRIQ
Taj Delivery LLC	N/A
Tandem Specialized Inc: TSZA	TSZA
Tandet Dedicated Inc.	TDNR
Tandet Logistics Inc.	TNDT
Tantara Transportation Group, Inc.	TANR
Target	TRGE
Tate Transportation, Inc.	TTPW
Taylor Distributing Company	TADS
Taylor Express, Inc.	TYEI
taylor made express, inc.	TYMD
Taylor Truck Line Inc	TTLQ
TBM Carriers, Inc.	TBMC
TCB Motor Corporation	N/A
TCI Transportation Services, Inc.: TCI Transportation	TCIV
TCI Transportation Services, Inc.: Transportation Concepts Inc.	TCJJ
TCW	TCWI
TD Express, Inc.	TDXS
TDC Transport	TDCC
Te Slaa Trucking, Ltd.	TESL
Team Campbell Logistics	TCPW
Team Transport, Inc.: Team Transport - Chip and Resin	TTPT
Team Transport, Inc.: Team Transport - Complete	TTPT
Team Transport, Inc.: Team Transport East - Complete (with Warnings)	TTPT
Team Transport, Inc.: Team Transport Lessors - Complete (with Warnings)	TTPT
Team Transportation, Inc	TQIO
Tek Transportation Services LLC	N/A
Tek Transportation, Inc.	TTDH
Temp Distribution of Maryland, Inc.	TDEI
Tennant Truck Lines, Inc.	TENA
Tennessee Steel Haulers	TENN
Tenold Transportation LP	TNOD
Tenpoint Expediting Services, Inc	TESE
Texas Freight Services, Inc.	TXFS
Texas Refrigerated Xpress LLC: Refrigerated	TRXP
THC Global Inc.	TGIQ
The BLM Group Inc.	BGRO
The Complete Logistics Company	CPQL
The Daniel Company of Springfield	DCSP
The Gilbert Company	GBEA
The Green Trucking Moving Company	GNKV
The Hubach Group, Inc.	HGPI
The Kenan Advantage Group Inc.	AVTK,BLKE,KAGW,KNTC,NOCP,POCN,DTCH,TRAP,CRYI,KEJB
The Kroger Co.: KDL Fred Meyer	NA
The Kroger Co.: KDL Houston	NA
The Kroger Co.: KDL JC Foods	NA
The Kroger Co.: KDL Memphis	NA
The Kroger Co.: KDL Ralphs/Food 4 Less	NA
The Kroger Co.: KDL Smiths	NA
The Kroger Co.: KDL Turkey Hill	NA
The Martin Brower Company	N/A
The Rosedale Group: Rosedale Transport Limited	RTAL
THE SIMPSON GROUP, INC.	SPSG
The Waggoners Trucking	WAGP
Thomas E Harrington	N/A
Thomas E. Keller Trucking	KLTR
Thomas Transportation	THMP
Thomason Express LLC	THNS
Thompson Emergency Freight Systems	TEMF
Thorsons Marketing Associates Canada Inc.	THOR
Three Star Trucking Company Inc.	THES
Thuman Trucking Inc.	TNUG
Thunder Bal Distributors Ltd.: Intermodal Canada & USA (Pacific Northwest)	TBDT
THX Transport, LLC	THPC
Tidewater Transit Co., Inc.	TITC
Tiger Trans Inc	TTIE
Tiger Truck Lines	TGKL
Tigers Express Inc	TEIN
Tighe Trucking, Inc.	TGHE
Timco Logistics Systems, LLC.: Truckload	TLAY
Time Definite Services Transportation LLC	TDFS
Time Transport, Inc.	TTYI
Timeline Logistic international	TLQD
Timeline Transportation Inc	N/A
Titan Transfer, Inc.	TTFE
Titanium Transportation Group Inc.: Muskoka	MUKT
Titanium Transportation Group Inc.: Titanium	TTKS
TM Transportation Services LLC: TMTS	TMVJ
TMC Transportation	TDED
TMF Logistics, Inc.	TMFY
TMG Logistics Inc.	TGQL
TMH Logistics Limited	TMHC
TML Logistics, Inc.	TLQI
TMS Logistics, Inc.	TMSG
TNL Freightways, Inc.	TFWI
To-Jo Mushroom Transportation, LLC	TJMS
Tony Nistler Trucking	NTTY
Tony's Express, Inc.	TONI
Top Gun Air Express, Inc.: Top Gun Air Express Inc	TGAP
Torres Trucking	N/A
Total Transportation of Mississippi, LLC	TTMS
Total Transportation Services, Inc.*	TTPV
Total Transportation Trucking Inc.	TTTR
Totran Transportation Services Inc	TXVI
Town Trucking Co	TWTR
Toyota Transport-Toyota Logistics Services, Inc.	TLSR
TPT Systems Limited: TPT Systems Limited	TPTO
TQT LLC	TQTV
Tradewinds Transportation LLC	TWIS
Tradition Transportation Co., LLC: Dry Van	TTMB
Traffix High Performace Logistics	TFXE
Trailer Bridge, Inc	TRBR
Trailiner Corporation	TRLH
Trancasa USA Inc	TUIQ
Trans American Trucking Service, Inc.	TNAS
Trans BC Freightways(2007) Ltd.: Trans BC Freightways(2007) Ltd.	TFWA
Trans East, Inc.	TNSE
Trans Expert Inc.	TXEQ
Trans International Trucking, Inc.	TIKG
Trans-Motion LLC	TNNT
Trans-National Express	TNUE
Trans-United Inc.	TRUI
Transam Carriers Inc.	TCVG
TransAm Trucking, Inc.	TAMI
Transcarriers, Inc.: IM	TCAR
Transcarriers, Inc.: OTR	TCAR
Transco Lines Inc.: TLI	TLIN
Transcorp Carriers, Inc.	N/A
TransCorr LLC	TRCR
Transervice Logistics, Inc.	TSVL
Transfreight, Inc.	TFNH
Transfreight, LLC	TQFR
Transfrt McNamara Inc.	TFMC
Transit Logistics Solutions Inc.	TXLQ
Transita LLC: Main Fleet	N/A
Transland, Inc.: Dry Van	TCSF
Transland, Inc.: Flatbed	TCSF
Transnational Logistics Corp	TNLL
Transource Freightways Ltd.	TFLY
Transport and Distribution MTL Inc.	TDML
Transport Bellemare International Inc	TBIM
Transport Continental Inc	TPCN
Transport Continental Inc	TPCN
Transport Corporation of America	TCAM
Transport Couture: Transport Couture	TCFP
Transport Designs, Inc.	TPOD
Transport Distribution Company: Truckload Van	TSBC
Transport Guy Bourassa	TAGB
Transport J.C. Germain, TFI 1 Limited Partnership	TFIT
Transport Jocelyn Bourdeau Inc. d/b/a TJB	TQJB
Transport National	TNQA
Transport Sylvester & Forget Inc.: parc 1	TSYF
Transport TFI 15, S.E.C., Gregoire	TGEG
Transport TFI 6 S.E.C -division Besner	TFIS
Transportation Services Inc.	N/A
Transportation Specialists Ltd	TPSP
Transpro/Burgener Trucking: Transpro/Burgener Trucking	N/A
Transtewart Trucking Inc	TSWT
TransWood Inc.	TNWI
Transworld Xpress Inc.: Transportation	TWXC
TransX: TNXL	TNXL
Trappers Transport Ltd	TPPG
Travelers Transportation Services Inc.	TVLS
Tri Hi Transportation, Inc.	THIT
Tri Star Freight System, Inc.	TSFS
Tri State Xpress Inc	TSQP
Tri-F Consolidators, Inc.: Dry Van Division	TFCD
Tri-Link Transportation Inc.	TRNK
Tri-National, Inc.	TNIN
Tribe Express, Inc.	TBXK
Tribeca Automotive Inc.	TAMC
Trican Transport Ltd.	TTPY
Tridex Trucking ltd	TXKB
Trilink Logistics Inc.	TLKV
Trimac Transportation Inc.	TSUH,TTOS
Trinder Enterprises	TNDE
Trinity Logistics Group, Inc.	TRYR
Trio Trucking, Inc.	TTGO
Triple Eight Transport Inc	TPGH
Triple G Enterprises, Inc.	TPGS
Triple Play Services, Inc., dba Three Way	THRW
Triple R Trucking of Laurens, IA Inc.	TRTJ
Trisec Logistics	TWHS
Triumph Transport, Inc.	TTPH
Trivium Trans Inc: Trivium Trans Inc	N/A
Triways, Inc.	TRWM
Truck Logistics Services, Inc.	TQSI
Truck One, Inc.	TKOI
Truck Service, Inc.	TRKE
Trucking Experts, LLC: Dry Van	TXPL
Trucks For You, Inc.	TFYI
Truline Corporation: Dedicated	TRUF
Truline Corporation: OTR	TRUF
TS Delivery	TSDL
TST Expedited Services, Inc.	TTOL
TTR Transport	TTRH
Tucson Transport Inc.	TTIV
Tuffy Trans, Inc.	TYFN
TUJ Transportation Inc.	TUJC
Turk Enterprises Ltd.	TKEL
TVA Transportation Services	TVTS
TW Transport, Inc.: Heavy Haul	TWTN
TW Transport, Inc.: Line Haul	TWTN
TWG Transportation Inc.	TWGB
Twin City Transportation, Inc.	TWPD
Twin Express, Inc.	TWXP
Twin Lake Trucking: Flatbed	TGLK
Twin Lake Trucking: Intermodal	TGLK
Twin Lake Trucking: Praxair	TGLK
Twin Lake Trucking: Van & Temp Controlled Units	TGLK
Twin River Logistics, Inc.	TWGN
Twin Valley Farms Exchange, Inc.	TVFM
Twiss Transport, Inc.	TWSS
TXN Management, Inc DBA TXN Logistics	TXNL
TYAB INC.	TYAO
Tyson Foods, Inc.	TYSF
U. S. Postal Service: Truck Fleet	N/A
U. S. Transport	USDI
U.S. Xpress Enterprises, Inc.: U.S.Xpress, Inc./USXI-Complete	USXI
Uka Transportation LLC.	UTLW
Uncommon Carrier, Inc.	UNMC
UniGroup Logistics Fleet: Mayflower Tranist, LLC	AERM
UniGroup Logistics Fleet: United Van Lines, LLC	UVLN
Unimark Lowboy Transportation LLC	UMLT
United Brothers Transport Ltd.: UBT	N/A
United California Freight Solutions, Inc.	UCFN
United Express LLC	UNEP
United Logistic Services Group Inc	ULSB
United Natural Foods Inc. (UNFI)	N/A
United Road Services, Inc.	URDS
United Vision Logistics: Flatbed	DYNS
Universal Freight Express, LLC	UFER
Universal Transportation Services, LLC d/b/a Calhoun Truck Lines	CHKD
Universal Truckload, Inc: Dedicated	UDCD
Universal Truckload, Inc: Intermodal	UISA
Universal Truckload, Inc: Specialized	UVSI
Universal Truckload, Inc: Truckload	UACL
Universe Carrier Inc: Flatbed division	UVCN
Updike Distribution Logistics, LLC	UDLC
UPS Freight LTL (Less-Than-Truckload)	UPGF
UPS Freight Truckload: Truckload	UPSF
Urzua Trucking	URZA
US 1 XPRESS INC: 01	USOO
US Atlantic Express: 001	N/A
US AutoLogistics, LLC.: USAL	USAA
US Foods Inc.	USFD
US Truck Line	USKE
USA Truck, Inc.	USIR,USIL,USAT
USXL Worldwide	USXL
UWC Transportation, LLC	UWCT
V&S Midwest Carriers Corp.	VSMW
V3 Transportation, LLC	VTVN
Valley Cartage	VALC
Valley Equipment Leasing, Inc.	VLYE
Valley Express, LLC	VLYP
Van Eck Family Trucking, Inc.	VEFT
Van Eerden Trucking Company	VAEC
Van Groll Trucking, Inc	VNGL
Van Groningen Transport, Inc.	N/A
Van Wyk, Inc.	VNWK
Vand LLC	N/A
Vansea Transport Ltd: Canada & US Vans & Containers	VSTL
Variety Wholesale, LLC. dba: Variety Logistics	vrtg
Vaughan Xpress, Inc	VNXI
Vedder Transport Ltd.	VEDR
Vega Transport	VGAL
Velic Transportation Inc.	VTXN
Veltri, Inc	VERI
Venture Logistics, Inc.	VNLO
Veriha Trucking, Inc	VRJT
Veritiv Operating Company: Canada Fleet	N/A
Veritiv Operating Company: US Fleet	DSWD
Vero Logistics LLC	VLOA
Verspeeten Cartage Ltd.	VERC
Verst Group Logistics	VGXP
Vette City Transportation, LLC	VCTP
VHI Express, Inc.: Truckload and Dray	VHIE
Vicinity Transportation Ltd.	VYXN
Victoria Food Distribution, LLC	VIAI
Victory Leasing Inc	VICL
Villa Park Trucking, Inc	VPKT
Vince Paladino Farms, Inc.	PDAL
Vine Line Trucking LLC	VLTL
Virdi Trucking Company	VKCT
Virginia Transportation Corp.	VTCR
Virnich Corporation	VCOP
Vitesse Trucking Services Inc./ Services de Camion	VTKS
VMW Express, LLC	VMWE
Volk Transfer, Inc.: VLKT	VLKT
Volume Transportation, Inc.	VOUM
Volunteer Express Inc.	VOLT
Vortex Express Inc.	N/A
Voyager Express Inc - Detroit, MI	VYEI
Voyager Express One Inc - Detroit, MI	VEOI
Voyager Express, Inc.	VYGR
W B Produce Haulers Inc.: W B Produce Haulers, Inc.	WBPR
W&A Distribution Services Inc	WNAD
W. J. Beitler Co. and Beitler Trucking, Inc.	BEIT
W. L. Logan Trucking Co.	LGNQ
W. W. Transport, Inc.: Flatbed	WWSP
W. W. Transport, Inc.: Pneumatic/Liquid	WWSP
W. W. Transport, Inc.: Refrigerated	WWSP
W. W. Transport, Inc.: Rock/Cement	WWSP
W.D. Potato Limited	WDPO
W.N. Morehouse Truckline, Inc.	MOHS
W2 Logistic Inc: Carrier	WTGI
Wadhams Enterprises, Inc.: ARG Trucking, Corp.	ARGC
Wadhams Enterprises, Inc.: Earl T. Wadhams, Inc.	N/A
Wadhams Enterprises, Inc.: RIST Transport, Ltd dba Howard's Express	HWEP
Wadhams Enterprises, Inc.: RIST Transport, Ltd.	RISF
Waitt Trucking, Inc	WAIT
Walbon & Company, Inc.	WABN
Waletich Corporation	WLCO
Walgreen Oshkosh, Inc.	WAOS,WAGL
Wall Trucking, Inc d/b/a Wall, Inc	WALG
Waller Truck Company, Inc.	WALR
Walmart Transportation, LLC	WALM
Walpole, Inc.	WLPO
Wanship Enterprises LLC	WSHE
Ward Transport and Logistics LLC: Ward Trucking LTL	WARD
Ward Transport and Logistics LLC: Ward Truckload	WDTC
Warren Transport, Inc.: Dry Van	WNTT
Warren Transport, Inc.: Machinery	WNTT
Washington Transfer, Inc.	WSHT
Waste Management: Collection and Support Vehicles	N/A
Watkins and Shepard Trucking, Inc.: Less Than Truckload	WKSH
Watkins and Shepard Trucking, Inc.: Truckload	WSVT
Watsontown Trucking Company	WATW
Watt & Stewart Commodities Inc.	WATT
Wayne Olson Inc	OLWJ
WDF Inc.	WDFC
WDS Enterprises Inc.	WDSI
Webb Pallet Service Inc.	WPSN
Weber Logistics	WDWI
Weiland Trucking Company, Inc.	WELD
Weis Markets, Inc.	N/A
WEL Companies, Inc.: Trucking Division	WIEL
Wells Leasing	WLDB
Wellsite Delivery Services, Inc.	WDS
Wenger Truck Line, Inc.	WENG
Werner Enterprises: Complete	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
Werner Enterprises: Dedicated	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
Werner Enterprises: Flatbed	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
Werner Enterprises: Intermodal	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
Werner Enterprises: Reefer	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
Werner Enterprises: Van One-Way	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH
West End Express Co. Inc	WEXI
West Marine Products	WMPU
West Motor Freight	WESM
West Side Transport, Inc.	WSGS
West Wind Logistics Inc	WWLL
Westco Express, Inc.	WSXR
Western Canada Express Inc.	WCNE
Western Dist. Trans., Corp.	WESD
Western Express, Inc.	WSXI
Western Flyer Express, LLC	WFLY
Western Freight Carrier, Inc.	WFCR
Western Ports Transportation*: Intermodal Drayage	WPTT
Western Provisions Inc	WSEE
Western Transport Inc	WEWH
WestWind Logistics, LLC	WWIN
Wheaton Worldwide Moving | Bekins Van Lines, Inc.: Wheaton Van Lines, Inc.	WHTN
Wheeler Trucking Inc	WHKQ
White Rock Motors Inc.	WRMN
White Transportation Services, Inc.	WTTS
Whitehawk Transport Ltd	WHKD
Whiteline Express Ltd.: Whiteline Fleet	WLEL
Whitestone Transportation	WHXN
Wilburn Archer Trucking	N/A
Wild West Express, Inc.	WWXR
Wiley Sanders Truck Lines, Inc.	SDRW
william a spencer jr trucking inc	SPEN
William E. Lee & Sons Trucking	LWES
Williams NationaLease, Ltd: WNL Transportation, LLC	WNLT
Williams NationaLease: Williams Systems  LLC	WMSN
Willow Express	WXTA
Wilride Transport Ltd.	WIRD
Wilson Inland Contract Carriers	INLY
Wilson Trucking Corporation	WTVA
WinCo Foods, LLC	WINC
Windy Hill Foliage, Inc.	WNDY
Wise Truck Lines, LLC	N/A
Withers LP	N/A
Witte Brothere Exchange Inc: 1	WTTY
WJW Associates, LTD: WJWA	WJWA
WLA, Inc	WLAY
Wolverine Freight System	WOVT
Woodfield, Inc.	WDFE
Woody Bogler Trucking Company	BWOT
Woody's LLC	WODI
Wooster Motor Ways Inc.: wosq	WOSQ
World Wide Carriers Ltd.	WWCI
Worldwide Logistics & Transportation, Inc	WLTI
Wright Transportation, Inc.	WRHT
WSI Transportation, LLC	WSIY
WTI Transport Inc.: WBTT	WBTT
Xcelerated Transportation Group: Xcelerated Transportation	XCTG
Xfinity Freight Systems, Inc.	XFSN
XPO Cartage, Inc.	XPOK
XPO Drayage, Inc.	XPDR
XPO Express, Inc.	EPOI
XPO Last Mile, Inc.: USA	URBS
XPO Logistics Freight, Inc.: Less-Than-Truckload	CNWY
XPress Cargo, Inc.	XPRC
Xpress Global Systems, LLC: XGSI	N/A
Xpress Transport, Inc.	XPTQ
XTL Transport Inc.	XTLT
XTL, Inc.	XTLI
Yandell Truckaway Inc.: Yand	YAND
Yarbrough Transfer Company	YARB
YRC Worldwide Inc.: Holland	HMES
YRC Worldwide Inc.: New Penn	NPME
YRC Worldwide Inc.: Reddaway	RETL
Yu Express Inc.	YUES
Yuhak LLC	N/A
Z Trucking LLC	ZTRK
Zachrich Trucking Inc.	ZAHT
Zavcor Trucking Limited	ZVCR
Zeitner & Sons, Inc.	ZENS
Zeko Transport Inc	ZKTI
Zero Mountain Logistics	ZMLL
Zimmerman Truck Lines, Inc.	ZMTL
Zipp Express, LLC	ZIPE
ZNG Freight, Inc.: 1	ZNGF
