1st Choice Logistics LLC	FCOS
Schneider: Schneider Logistics Division	NA
Scott Logistics Corp.: 30200312	SCGP
SD Transportation	SDPR
Seagate Transportation Services, Inc.: Company Trucks	SGTB
Seagate Transportation Services, Inc.: Logistics Trucks	SGTB
Seagate Transportation Services, Inc.: Owner Operator Trucks	SGTB
Seal Transportation, Inc.	SLQS
Seko Logistics	SEKW
Select Express & Logistics: SXLT	SXLT
Select Logistics Network, Inc	SLGK
Sequoia Transportation Services, Inc.	SQTR
Service By Air, Inc.: SBAGlobal	SVBA
Service First Logistics Incorporated	SFQP
Seven Star Services, Inc.: Seven Star Services, Inc	SVRS
SheerTrans Solutions LLC	SNSC
ShipCarsNow	INET
Shipco Transport, Inc.	SHPT
Shippers Express Truck Lines, Inc.	SXTI
Siam Logistics, LLC	SOGT
SKILS Incorporated	SKQL
Snowland Freight Services Inc	SLEH
Somerset Logistics	SMEL
SOS Global Express Inc.	SOGL
Southwest Logistics, Inc.	SWLM
Spice Logistics LLC	SIUP
Spot Freight, Inc.	SFIK
Standard Transportation Services Inc.	STHS
Star Logistics, Inc.:	SECS
STC LOGISTICS	SLPP
Straitline Transportation Systems Inc.	SLNT
Strategic Logistics Co, LLC	SYBT
Strive Logistics, LLC: STVG	STVG
Summit Expedited Logistics	SXPL
Sunset Transportation	SSRP
Sunteck Transport Co., Inc.	SNKS
Syfan Logistics, Inc.	SYFN
SYNC National Logistics: Logistics	SNLE
Synergy Worldwide, LLC	SWFJ
TA Services	TASW
Target Transportation	TGQT
Targeted Transport: Asset Carrier	TGRT
Taylor Logistics Inc: Taylor Logistics Inc	TYLV
TDM Transport, Inc.: TDM Transport, Inc.	TDMM
Team Worldwide	TAIF
Technical Transportation, Inc.	TLQT
Technicolor Global Logistics: 3PL	TGLQ
Terry Enterprises, Inc.	TYCO
The American Holding Group, LLC dba Ameritrans	AXRN
The Oppenheimer Group	OPHG
Thoroughbred Direct Intermodal Services Inc	TDIS
Tiger Cool Express LLC: TCE	N/A
Time Logistics, Inc.: Time Logistics, Inc.	TQGI
Total Quality Logistics: Total Quality Logistics	TQYL
Total Services, Inc.	TTSS
tps logistics, inc.	TLTC
Traffic Tech Inc: 3PL, 4PL, OTR, Rail, Ocean, Air, Warehousing	TFFC,TFCH
Trans Global Logistics LLC	TGQG
Trans-Expedite	TXAP
Trans-Link, LLC	TLKY
TransCorr National Logistics, LLC	TAHE
TransGroup Worldwide Logistics	TGPE
Translogistics, Inc.	TLOG
Transplace: Brokerage - TSGT	TSGT
Transplace: Brokerage - TXCD	TXCD
Transplace: Texas LP - 3PL	TPQL
Transport Logistics Inc.	TSJT
Transportation Insight, LLC: LTL	N/A
Transportation Insight, LLC: Small Package	N/A
Transportation Insight, LLC: TL	N/A
Transportation One, LLC: Freight Broker	TXOK
Transportation Services of America, Inc.	TPSS
Transtar Logistics, Inc: tstl	TSTL
TranSure Express LLC	TELP
Tri-Star Traffic & Distribution Inc.	TSTY
Tribe Transport, Inc	TBPI
Trinity Logistics, Inc.: Trinity Logistics	TTFD
Triple T Transport, Inc.	TPTA
Troy Logistics, LLC	TLGQ
Truckers Exchange Inc.	TKXC
TSD Logistics, Inc.	TBKD
TSL Logistics, Ltd.	TTLD
TTS, LLC: TTS, LLC	TODL
Tucker Company Worldwide	TUKC
Tumalo Creek Transportation, LLC	TMKA
Twin Peaks Logistics, LLC	TPLC
U. S. Postal Service: 	N/A
U.S. Traffic:	USTO
Ultra Logistics, Inc.	ULTL
UniExpress Systems, Inc	UYAK
Union Pacific Distribution Services	UPFS
United Carriers LLC	UCAA
United Van Lines	UVLN
Universal Logistics Services, Inc: Freight Brokerage	ULSV
Universal Logistics Services, Inc: Logistics	ULSV
UPS Supply Chain Solutions: Freight Forwarding	UPSF
UPS Supply Chain Solutions: Logistics and Distribution	UPSF
US 1 Intermodal LLC:	UOIM
USA Transportation Logistics, LLC	UTLR
USCS Logistics	ULLV
UTi Distribution, Inc.	N/A
UTi Transport Solutions	UTSA
UTXL, Inc.	UNFF
ValDivia Enterprises, Inc.	VDEI
Vantix Logistics LTD	VTXL
Vector Transportation, Inc.	VECR
Verde Logistics, LLC.	VLLQ
Veritiv Logistics Solutions: VRTV	USWB
Versant Supply Chain Inc.: Versant Supply Chain Broker Forwarder	VSCC
Vertex Transport, LLC	VTLR
Vestra Logistics LLC	VLLO
VETRANS LLC: 30879732	VETQ
VHI Transport: Brokerage	VAHI
Visual Pak Logistics LLC	VPLN
VSF Transportation Inc.	VSFT
Warehouse Specialists, Inc.	WSIC
Watco Supply Chain Services, LLC	WSYH
West Coast Trucking Corp.	WCKP
West Industries Inc.	WIDI
Wheels Clipper Group: Wheels Clipper Group	WIFS
Whitfield Foods, Inc.	WIFI
WILK, Inc	WKIF
Wilson Transportation, Inc.	WLPR
Wisconsin Paper Group, Inc.: WPG Shippers Association	WIPG
World Class Logistics Management	WCLG
World Wide Logistics Inc.	WWLQ
WorldWide Logistics	WISW
WPS Team Logistics, Inc.	WPST
XPO - Supply Chain	NBLI
XPO Global Forwarding, Inc.	CGLP,CGPI
XPO Intermodal Solutions, Inc	PGLH,PGLI,PGPR,PGXT
XPO Logistics Canada Inc.	XPOC
XPO Logistics LLC	XPOL
XPOLastMile: XPOLastMile	THPW
Yusen Logistics Americas, Inc (Transportation Divi: Transportation Division	YLAT,YLAR
Z Transport & Logistics LLC	ZTLL
Zip Xpress Inc	ZPXS
Zipline Logistics, LLC	N/A
C.R. England: Intermodal	ENGI
Hub Group: Intermodal	HUBG
Independent Dispatch, Inc.: Intermodal	INDD
Independent Dispatch, Inc.: Regional Trucking	INDD
J.B. Hunt Transport, Inc.: Intermodal Division	QPMT
Kleysen Group LP: Intermodal Division	KLET
Kleysen Group LP: Truckload Division	KLET
Market Transport, Ltd.: Logistics	MTLZ
Marten Transport LTD	MTEN
Schneider: Schneider Intermodal Division	SCNN
Triple Crown Services Company: rail operations	TCSR
UPS Small Package	UPSN,UPSS
